method,sid,sequence_identity,sequence_similarity,len
carbonara_maxseqid,2CSI_A,0.47368421052631576,0.631578947368421,76
carbonara_minseqid,2CSI_A,0.19736842105263158,0.5131578947368421,76
carbonara_minseqsim,2CSI_A,0.19736842105263158,0.2894736842105263,76
esm,2CSI_A,0.5394736842105263,0.6578947368421053,76
mpnn,2CSI_A,0.39473684210526316,0.5526315789473685,76
baseline,2DSQ_G,1.0,1.0,73
carbonara_maxseqid,2DSQ_G,0.5342465753424658,0.684931506849315,73
carbonara_minseqid,2DSQ_G,0.2328767123287671,0.6164383561643836,73
carbonara_minseqsim,2DSQ_G,0.2328767123287671,0.3013698630136986,73
esm,2DSQ_G,0.4383561643835616,0.547945205479452,73
mpnn,2DSQ_G,0.4657534246575342,0.6438356164383562,73
baseline,2E21_A,1.0,1.0,317
carbonara_maxseqid,2E21_A,0.4637223974763407,0.6782334384858044,317
carbonara_minseqid,2E21_A,0.14511041009463724,0.5930599369085173,317
carbonara_minseqsim,2E21_A,0.14826498422712933,0.31230283911671924,317
esm,2E21_A,0.5457413249211357,0.7413249211356467,317
mpnn,2E21_A,0.47318611987381703,0.6277602523659306,317
baseline,2E21_B,1.0,1.0,314
carbonara_maxseqid,2E21_B,0.5159235668789809,0.7133757961783439,314
carbonara_minseqid,2E21_B,0.13694267515923567,0.5859872611464968,314
carbonara_minseqsim,2E21_B,0.13694267515923567,0.2961783439490446,314
esm,2E21_B,0.5159235668789809,0.697452229299363,314
mpnn,2E21_B,0.5,0.6560509554140127,314
baseline,2E89_A,1.0,1.0,317
carbonara_maxseqid,2E89_A,0.4794952681388013,0.6498422712933754,317
carbonara_minseqid,2E89_A,0.14195583596214512,0.5394321766561514,317
carbonara_minseqsim,2E89_A,0.14195583596214512,0.2807570977917981,317
esm,2E89_A,0.5141955835962145,0.6971608832807571,317
mpnn,2E89_A,0.48264984227129337,0.6498422712933754,317
baseline,2E89_B,1.0,1.0,314
carbonara_maxseqid,2E89_B,0.5095541401273885,0.7165605095541401,314
carbonara_minseqid,2E89_B,0.1178343949044586,0.5732484076433121,314
carbonara_minseqsim,2E89_B,0.11464968152866242,0.25477707006369427,314
esm,2E89_B,0.49363057324840764,0.6815286624203821,314
mpnn,2E89_B,0.4968152866242038,0.6624203821656051,314
baseline,2EC9_T,1.0,1.0,75
carbonara_maxseqid,2EC9_T,0.48,0.6533333333333333,75
carbonara_minseqid,2EC9_T,0.09333333333333334,0.44,75
carbonara_minseqsim,2EC9_T,0.09333333333333334,0.24,75
esm,2EC9_T,0.41333333333333333,0.5466666666666666,75
mpnn,2EC9_T,0.44,0.6133333333333333,75
baseline,2EC9_U,1.0,1.0,116
carbonara_maxseqid,2EC9_U,0.4396551724137931,0.6206896551724138,116
carbonara_minseqid,2EC9_U,0.1724137931034483,0.47413793103448276,116
carbonara_minseqsim,2EC9_U,0.1724137931034483,0.28448275862068967,116
esm,2EC9_U,0.39655172413793105,0.5689655172413793,116
mpnn,2EC9_U,0.5,0.6293103448275862,116
baseline,2EGE_A,1.0,1.0,75
carbonara_maxseqid,2EGE_A,0.5066666666666667,0.68,75
carbonara_minseqid,2EGE_A,0.26666666666666666,0.5733333333333334,75
carbonara_minseqsim,2EGE_A,0.26666666666666666,0.37333333333333335,75
esm,2EGE_A,0.5066666666666667,0.6933333333333334,75
mpnn,2EGE_A,0.3466666666666667,0.6,75
baseline,2GBQ_A,1.0,1.0,57
carbonara_maxseqid,2GBQ_A,0.45614035087719296,0.6491228070175439,57
carbonara_minseqid,2GBQ_A,0.10526315789473684,0.47368421052631576,57
carbonara_minseqsim,2GBQ_A,0.10526315789473684,0.21052631578947367,57
esm,2GBQ_A,0.40350877192982454,0.7543859649122807,57
mpnn,2GBQ_A,0.42105263157894735,0.7543859649122807,57
baseline,2JQ8_A,1.0,1.0,47
carbonara_maxseqid,2JQ8_A,0.40425531914893614,0.5319148936170213,47
carbonara_minseqid,2JQ8_A,0.1276595744680851,0.2978723404255319,47
carbonara_minseqsim,2JQ8_A,0.1276595744680851,0.1276595744680851,47
esm,2JQ8_A,0.3829787234042553,0.48936170212765956,47
mpnn,2JQ8_A,0.2978723404255319,0.5106382978723404,47
baseline,2JW4_A,1.0,1.0,72
carbonara_maxseqid,2JW4_A,0.3333333333333333,0.5138888888888888,72
carbonara_minseqid,2JW4_A,0.05555555555555555,0.375,72
carbonara_minseqsim,2JW4_A,0.05555555555555555,0.1527777777777778,72
esm,2JW4_A,0.375,0.5972222222222222,72
mpnn,2JW4_A,0.3333333333333333,0.5,72
baseline,2KKJ_A,1.0,1.0,59
carbonara_maxseqid,2KKJ_A,0.2711864406779661,0.4745762711864407,59
carbonara_minseqid,2KKJ_A,0.11864406779661017,0.423728813559322,59
carbonara_minseqsim,2KKJ_A,0.11864406779661017,0.15254237288135594,59
esm,2KKJ_A,0.2542372881355932,0.4067796610169492,59
mpnn,2KKJ_A,0.1864406779661017,0.4067796610169492,59
baseline,2L14_A,1.0,1.0,59
carbonara_maxseqid,2L14_A,0.3389830508474576,0.4576271186440678,59
carbonara_minseqid,2L14_A,0.11864406779661017,0.3898305084745763,59
carbonara_minseqsim,2L14_A,0.11864406779661017,0.1864406779661017,59
esm,2L14_A,0.3559322033898305,0.5423728813559322,59
mpnn,2L14_A,0.2542372881355932,0.3898305084745763,59
baseline,2O88_A,1.0,1.0,58
carbonara_maxseqid,2O88_A,0.6551724137931034,0.7586206896551724,58
carbonara_minseqid,2O88_A,0.25862068965517243,0.6896551724137931,58
carbonara_minseqsim,2O88_A,0.25862068965517243,0.5517241379310345,58
esm,2O88_A,0.603448275862069,0.7241379310344828,58
mpnn,2O88_A,0.5862068965517241,0.7413793103448276,58
baseline,2SNI_I,1.0,1.0,64
carbonara_maxseqid,2SNI_I,0.640625,0.75,64
carbonara_minseqid,2SNI_I,0.140625,0.578125,64
carbonara_minseqsim,2SNI_I,0.140625,0.34375,64
esm,2SNI_I,0.609375,0.78125,64
mpnn,2SNI_I,0.625,0.765625,64
baseline,2ZJS_Y,1.0,1.0,415
carbonara_maxseqid,2ZJS_Y,0.5204819277108433,0.691566265060241,415
carbonara_minseqid,2ZJS_Y,0.1783132530120482,0.6024096385542169,415
carbonara_minseqsim,2ZJS_Y,0.1783132530120482,0.3228915662650602,415
esm,2ZJS_Y,0.4674698795180723,0.619277108433735,415
mpnn,2ZJS_Y,0.40481927710843374,0.5614457831325301,415
baseline,3E18_A,1.0,1.0,348
carbonara_maxseqid,3E18_A,0.5459770114942529,0.7040229885057471,348
carbonara_minseqid,3E18_A,0.21551724137931033,0.5747126436781609,348
carbonara_minseqsim,3E18_A,0.21551724137931033,0.3620689655172414,348
esm,3E18_A,0.5747126436781609,0.7183908045977011,348
mpnn,3E18_A,0.5431034482758621,0.6925287356321839,348
baseline,3E18_B,1.0,1.0,337
carbonara_maxseqid,3E18_B,0.5816023738872403,0.7210682492581603,337
carbonara_minseqid,3E18_B,0.18694362017804153,0.5578635014836796,337
carbonara_minseqsim,3E18_B,0.18694362017804153,0.37091988130563797,337
esm,3E18_B,0.5845697329376854,0.7329376854599406,337
mpnn,3E18_B,0.5281899109792285,0.6735905044510386,337
baseline,3EG0_A,1.0,1.0,56
carbonara_maxseqid,3EG0_A,0.5535714285714286,0.75,56
carbonara_minseqid,3EG0_A,0.21428571428571427,0.625,56
carbonara_minseqsim,3EG0_A,0.21428571428571427,0.39285714285714285,56
esm,3EG0_A,0.5357142857142857,0.6964285714285714,56
mpnn,3EG0_A,0.4107142857142857,0.5357142857142857,56
baseline,3EG1_A,1.0,1.0,58
carbonara_maxseqid,3EG1_A,0.6551724137931034,0.8275862068965517,58
carbonara_minseqid,3EG1_A,0.25862068965517243,0.7241379310344828,58
carbonara_minseqsim,3EG1_A,0.25862068965517243,0.46551724137931033,58
esm,3EG1_A,0.5172413793103449,0.7241379310344828,58
mpnn,3EG1_A,0.603448275862069,0.7413793103448276,58
baseline,3EG1_B,1.0,1.0,56
carbonara_maxseqid,3EG1_B,0.6428571428571429,0.75,56
carbonara_minseqid,3EG1_B,0.26785714285714285,0.625,56
carbonara_minseqsim,3EG1_B,0.26785714285714285,0.5178571428571429,56
esm,3EG1_B,0.5357142857142857,0.6964285714285714,56
mpnn,3EG1_B,0.5892857142857143,0.7321428571428571,56
baseline,3EG2_A,1.0,1.0,63
carbonara_maxseqid,3EG2_A,0.5238095238095238,0.6984126984126984,63
carbonara_minseqid,3EG2_A,0.1746031746031746,0.5396825396825397,63
carbonara_minseqsim,3EG2_A,0.1746031746031746,0.3492063492063492,63
esm,3EG2_A,0.5396825396825397,0.7142857142857143,63
mpnn,3EG2_A,0.4603174603174603,0.6031746031746031,63
baseline,3EG3_A,1.0,1.0,63
carbonara_maxseqid,3EG3_A,0.5396825396825397,0.7142857142857143,63
carbonara_minseqid,3EG3_A,0.2222222222222222,0.6031746031746031,63
carbonara_minseqsim,3EG3_A,0.2222222222222222,0.4126984126984127,63
esm,3EG3_A,0.49206349206349204,0.6984126984126984,63
mpnn,3EG3_A,0.5238095238095238,0.6349206349206349,63
baseline,3EGU_A,1.0,1.0,57
carbonara_maxseqid,3EGU_A,0.5614035087719298,0.7192982456140351,57
carbonara_minseqid,3EGU_A,0.22807017543859648,0.6491228070175439,57
carbonara_minseqsim,3EGU_A,0.22807017543859648,0.40350877192982454,57
esm,3EGU_A,0.49122807017543857,0.7017543859649122,57
mpnn,3EGU_A,0.5087719298245614,0.6491228070175439,57
baseline,3GBQ_A,1.0,1.0,57
carbonara_maxseqid,3GBQ_A,0.42105263157894735,0.7017543859649122,57
carbonara_minseqid,3GBQ_A,0.12280701754385964,0.543859649122807,57
carbonara_minseqsim,3GBQ_A,0.12280701754385964,0.21052631578947367,57
esm,3GBQ_A,0.3508771929824561,0.6491228070175439,57
mpnn,3GBQ_A,0.5789473684210527,0.7368421052631579,57
baseline,3N29_A,1.0,1.0,371
carbonara_maxseqid,3N29_A,0.49326145552560646,0.7142857142857143,371
carbonara_minseqid,3N29_A,0.16981132075471697,0.5983827493261455,371
carbonara_minseqsim,3N29_A,0.1725067385444744,0.3450134770889488,371
esm,3N29_A,0.6253369272237197,0.7681940700808625,371
mpnn,3N29_A,0.48517520215633425,0.6630727762803235,371
baseline,3N29_B,1.0,1.0,367
carbonara_maxseqid,3N29_B,0.5122615803814714,0.7220708446866485,367
carbonara_minseqid,3N29_B,0.14986376021798364,0.6103542234332425,367
carbonara_minseqsim,3N29_B,0.14713896457765668,0.3651226158038147,367
esm,3N29_B,0.6103542234332425,0.776566757493188,367
mpnn,3N29_B,0.5204359673024523,0.7002724795640327,367
baseline,3SR3_A,1.0,1.0,333
carbonara_maxseqid,3SR3_A,0.5375375375375375,0.7327327327327328,333
carbonara_minseqid,3SR3_A,0.25825825825825827,0.6306306306306306,333
carbonara_minseqsim,3SR3_A,0.25225225225225223,0.4444444444444444,333
esm,3SR3_A,0.5975975975975976,0.7717717717717718,333
mpnn,3SR3_A,0.5135135135135135,0.6726726726726727,333
baseline,3SR3_B,1.0,1.0,304
carbonara_maxseqid,3SR3_B,0.5657894736842105,0.7269736842105263,304
carbonara_minseqid,3SR3_B,0.26973684210526316,0.6348684210526315,304
carbonara_minseqsim,3SR3_B,0.26644736842105265,0.4769736842105263,304
esm,3SR3_B,0.5953947368421053,0.7796052631578947,304
mpnn,3SR3_B,0.5493421052631579,0.7302631578947368,304
baseline,3T5M_A,1.0,1.0,335
carbonara_maxseqid,3T5M_A,0.5850746268656717,0.7940298507462686,335
carbonara_minseqid,3T5M_A,0.2656716417910448,0.6925373134328359,335
carbonara_minseqsim,3T5M_A,0.26865671641791045,0.46567164179104475,335
esm,3T5M_A,0.6029850746268657,0.7970149253731343,335
mpnn,3T5M_A,0.564179104477612,0.7432835820895523,335
baseline,3T5M_B,1.0,1.0,333
carbonara_maxseqid,3T5M_B,0.5825825825825826,0.7717717717717718,333
carbonara_minseqid,3T5M_B,0.2732732732732733,0.6786786786786787,333
carbonara_minseqsim,3T5M_B,0.2732732732732733,0.48348348348348347,333
esm,3T5M_B,0.6366366366366366,0.8138138138138138,333
mpnn,3T5M_B,0.5495495495495496,0.7177177177177178,333
baseline,3TYX_A,1.0,1.0,335
carbonara_maxseqid,3TYX_A,0.5462686567164179,0.7522388059701492,335
carbonara_minseqid,3TYX_A,0.23283582089552238,0.6567164179104478,335
carbonara_minseqsim,3TYX_A,0.23283582089552238,0.4417910447761194,335
esm,3TYX_A,0.5552238805970149,0.7492537313432835,335
mpnn,3TYX_A,0.5223880597014925,0.7134328358208956,335
baseline,3TYX_B,1.0,1.0,332
carbonara_maxseqid,3TYX_B,0.5240963855421686,0.7168674698795181,332
carbonara_minseqid,3TYX_B,0.22590361445783133,0.608433734939759,332
carbonara_minseqsim,3TYX_B,0.2289156626506024,0.42771084337349397,332
esm,3TYX_B,0.5843373493975904,0.7650602409638554,332
mpnn,3TYX_B,0.5451807228915663,0.7349397590361446,332
baseline,3U1B_A,1.0,1.0,336
carbonara_maxseqid,3U1B_A,0.5714285714285714,0.7440476190476191,336
carbonara_minseqid,3U1B_A,0.2619047619047619,0.6309523809523809,336
carbonara_minseqsim,3U1B_A,0.25892857142857145,0.4523809523809524,336
esm,3U1B_A,0.5922619047619048,0.7648809523809523,336
mpnn,3U1B_A,0.5505952380952381,0.7202380952380952,336
baseline,3U1B_B,1.0,1.0,333
carbonara_maxseqid,3U1B_B,0.5555555555555556,0.7267267267267268,333
carbonara_minseqid,3U1B_B,0.2702702702702703,0.6456456456456456,333
carbonara_minseqsim,3U1B_B,0.2702702702702703,0.45045045045045046,333
esm,3U1B_B,0.5915915915915916,0.7687687687687688,333
mpnn,3U1B_B,0.5615615615615616,0.7237237237237237,333
baseline,3VPZ_A,1.0,1.0,322
carbonara_maxseqid,3VPZ_A,0.5559006211180124,0.7267080745341615,322
carbonara_minseqid,3VPZ_A,0.22981366459627328,0.6024844720496895,322
carbonara_minseqsim,3VPZ_A,0.22981366459627328,0.43167701863354035,322
esm,3VPZ_A,0.6149068322981367,0.7422360248447205,322
mpnn,3VPZ_A,0.515527950310559,0.6832298136645962,322
baseline,4CRP_A,1.0,1.0,107
carbonara_maxseqid,4CRP_A,0.35514018691588783,0.5233644859813084,107
carbonara_minseqid,4CRP_A,0.14018691588785046,0.45794392523364486,107
carbonara_minseqsim,4CRP_A,0.14018691588785046,0.24299065420560748,107
esm,4CRP_A,0.34579439252336447,0.4485981308411215,107
mpnn,4CRP_A,0.32710280373831774,0.4485981308411215,107
baseline,4GBQ_A,1.0,1.0,57
carbonara_maxseqid,4GBQ_A,0.40350877192982454,0.6842105263157895,57
carbonara_minseqid,4GBQ_A,0.12280701754385964,0.543859649122807,57
carbonara_minseqsim,4GBQ_A,0.12280701754385964,0.2807017543859649,57
esm,4GBQ_A,0.3508771929824561,0.6491228070175439,57
mpnn,4GBQ_A,0.42105263157894735,0.6842105263157895,57
baseline,4INJ_A,1.0,1.0,326
carbonara_maxseqid,4INJ_A,0.5828220858895705,0.7515337423312883,326
carbonara_minseqid,4INJ_A,0.19938650306748465,0.6196319018404908,326
carbonara_minseqsim,4INJ_A,0.19938650306748465,0.40797546012269936,326
esm,4INJ_A,0.5613496932515337,0.7699386503067485,326
mpnn,4INJ_A,0.4723926380368098,0.647239263803681,326
baseline,4INJ_B,1.0,1.0,326
carbonara_maxseqid,4INJ_B,0.5429447852760736,0.7423312883435583,326
carbonara_minseqid,4INJ_B,0.1901840490797546,0.6257668711656442,326
carbonara_minseqsim,4INJ_B,0.1901840490797546,0.401840490797546,326
esm,4INJ_B,0.5552147239263804,0.7361963190184049,326
mpnn,4INJ_B,0.5061349693251533,0.6748466257668712,326
baseline,4J9B_A,1.0,1.0,58
carbonara_maxseqid,4J9B_A,0.5862068965517241,0.7586206896551724,58
carbonara_minseqid,4J9B_A,0.2413793103448276,0.6896551724137931,58
carbonara_minseqsim,4J9B_A,0.2413793103448276,0.5,58
esm,4J9B_A,0.5172413793103449,0.6896551724137931,58
mpnn,4J9B_A,0.43103448275862066,0.603448275862069,58
baseline,4J9C_A,1.0,1.0,58
carbonara_maxseqid,4J9C_A,0.6379310344827587,0.8103448275862069,58
