sid,dt
2KKJ_A,0.36447691917419434
6A5I_A,0.06650638580322266
3EG1_B,0.06115221977233887
1KKL_I,0.07593536376953125
3N29_A,0.27857398986816406
4XL5_C,0.18238162994384766
2EGE_A,0.06979131698608398
3U1B_A,0.24253392219543457
6PNW_A,0.06379222869873047
6R3C_A,0.12062478065490723
2C4F_T,0.07164120674133301
3SR3_B,0.21836352348327637
4JJC_A,0.06222701072692871
4JJD_A,0.06238412857055664
5USD_D,0.23153901100158691
5NP3_A,0.061646461486816406
1ABO_A,0.062282562255859375
3TYX_B,0.23903632164001465
3EG1_A,0.06277060508728027
5CH4_Y,0.3012673854827881
1SZ2_B,0.2239978313446045
1Q18_B,0.224409818649292
4J9D_A,0.06118464469909668
6CWY_D,0.35364866256713867
1JRH_I,0.0828392505645752
3T5M_B,0.24045062065124512
5IEB_A,0.09457135200500488
1Q18_A,0.22436022758483887
1WWA_X,0.08766961097717285
6H8C_A,0.09611988067626953
4J9H_A,0.06275486946105957
1WWW_X,0.08469009399414062
5LV6_B,0.05437612533569336
3E18_B,0.24162507057189941
4J9E_A,0.06145644187927246
2EC9_T,0.07122015953063965
4H1H_A,0.22419309616088867
6FGN_A,0.0991814136505127
3EG2_A,0.06454086303710938
4CRP_A,0.08849406242370605
5FD8_A,0.23122692108154297
1KKM_H,0.07433724403381348
5GAE_g,0.28583812713623047
6GQ9_A,0.12247323989868164
4JVO_B,0.24005532264709473
2E89_A,0.23345041275024414
1P4I_L,0.09010839462280273
3EG3_A,0.06400609016418457
3GBQ_A,0.06312704086303711
2E89_B,0.23057889938354492
4MJX_A,0.24095463752746582
5AWW_G,0.0702061653137207
5CH4_G,0.0691070556640625
6AEX_U,0.12380170822143555
5NP2_A,0.06076812744140625
5OAZ_A,0.06171369552612305
2DSQ_G,0.06966733932495117
3VPZ_A,0.22709321975708008
1KKM_I,0.07480335235595703
1WY5_A,0.2281947135925293
3EG0_A,0.06137967109680176
2E21_B,0.23015165328979492
1GBR_A,0.07096099853515625
1S4G_A,0.057550668716430664
2SNI_I,0.06551384925842285
2CI2_I,0.06532859802246094
1GBQ_A,0.06238150596618652
4J9B_A,0.06139039993286133
5AWW_Y,0.3049945831298828
1SSU_A,0.06145477294921875
4INJ_A,0.23274517059326172
4MI1_B,0.23695993423461914
3SR3_A,0.2395024299621582
4GBQ_A,0.06264972686767578
6PNW_B,0.06322979927062988
5NP5_A,0.07014274597167969
4JJB_A,0.06135678291320801
4MJX_B,0.24264931678771973
1DAN_U,0.09598994255065918
6FIC_T,0.17969226837158203
1WWW_Y,0.08530640602111816
6ITC_Y,0.3192431926727295
5IEJ_A,0.09567499160766602
4JVO_A,0.2424924373626709
3HXJ_A,0.22118449211120605
3TYX_A,0.2416691780090332
1DAN_T,0.07154560089111328
3N29_B,0.2643730640411377
1SZ2_A,0.22418498992919922
1KKL_H,0.07520270347595215
4E5S_B,0.2306652069091797
4J9F_A,0.06409001350402832
3EGU_A,0.06118440628051758
1ABQ_A,0.06119871139526367
1P4B_L,0.09136366844177246
1HIA_I,0.05664372444152832
1JU5_C,0.06265449523925781
3GJZ_B,0.23618841171264648
5K99_A,0.23777365684509277
2JW4_A,0.0699453353881836
2GBQ_A,0.06180739402770996
4H1H_B,0.22033047676086426
3GJZ_A,0.2711353302001953
1WY5_B,0.23058032989501953
4J9G_A,0.06202340126037598
6FGS_A,0.10646390914916992
2C4F_U,0.09618759155273438
1KBH_B,0.06217336654663086
5O2M_A,0.07374930381774902
1KKM_J,0.07412242889404297
2L14_A,0.062134504318237305
6P6B_A,0.0791923999786377
4INJ_B,0.23160362243652344
4MO3_M,0.11908483505249023
3HXJ_B,0.21373295783996582
2E21_A,0.2324841022491455
2C52_A,0.06246662139892578
5LV6_A,0.05432319641113281
3E18_A,0.24921131134033203
2EC9_U,0.09617948532104492
1ZH8_A,0.22837567329406738
4J9I_A,0.0616152286529541
5EUL_Y,0.2706794738769531
3U1B_B,0.240997314453125
2ZJS_Y,0.29760146141052246
2CSI_A,0.07096195220947266
2JQ8_A,0.055753231048583984
2O88_A,0.06260251998901367
5USD_A,0.2306671142578125
1BBZ_A,0.06215834617614746
1KKL_J,0.07551693916320801
5FD8_B,0.2316758632659912
4J9C_A,0.062410831451416016
1ZH8_B,0.23287487030029297
2CR3_A,0.08292484283447266
1P1A_A,0.07604789733886719
1AWO_A,0.061716318130493164
6KBR_C,0.0598912239074707
4E5S_A,0.23062634468078613
4MI1_A,0.23437070846557617
3T5M_A,0.24135375022888184
4KI5_M,0.11920738220214844
